display,name_kr,name_en,ticker,type,enabled,aliases
웨이브일렉트로,웨이브일렉트로,,095270.KQ,company,1,
한독크린텍,한독크린텍,,256150.KQ,company,1,
씨엔플러스,씨엔플러스,,115530.KQ,company,1,
더존비즈온,더존비즈온,,012510.KS,company,1,
이엘피,이엘피,,063760.KQ,company,1,
스튜디오미르,스튜디오미르,,408900.KQ,company,1,
이노와이어리스,이노와이어리스,,073490.KQ,company,1,
이엠넷,이엠넷,,123570.KQ,company,1,
현대리바트,현대리바트,,079430.KS,company,1,
링크제니시스,링크제니시스,,219420.KQ,company,1,
오픈엣지테크놀로지,오픈엣지테크놀로지,,394280.KQ,company,1,
한섬,한섬,,020000.KS,company,1,
금호석유화학,금호석유화학,,011780.KS,company,1,
위즈코프,위즈코프,,038620.KQ,company,1,
CS홀딩스,CS홀딩스,,000590.KS,company,1,
유아이엘,유아이엘,,049520.KQ,company,1,
흥구석유,흥구석유,,024060.KQ,company,1,
이랜시스,이랜시스,,264850.KQ,company,1,
대창스틸,대창스틸,,140520.KQ,company,1,
부국철강,부국철강,,026940.KS,company,1,
에스디시스템,에스디시스템,,121890.KQ,company,1,
그린케미칼,그린케미칼,,083420.KS,company,1,
알에프텍,알에프텍,,061040.KQ,company,1,
미코,미코,,059090.KQ,company,1,
한국가스공사,한국가스공사,,036460.KS,company,1,
더블유씨피,더블유씨피,,393890.KQ,company,1,
디와이씨,디와이씨,,310870.KQ,company,1,
유티아이,유티아이,,179900.KQ,company,1,
비츠로셀,비츠로셀,,082920.KQ,company,1,
파인디앤씨,파인디앤씨,,049120.KQ,company,1,
삼목에스폼,삼목에스폼,,018310.KQ,company,1,
서흥,서흥,,008490.KS,company,1,
팬오션,팬오션,,028670.KS,company,1,
메가스터디,메가스터디,,072870.KQ,company,1,
비비안,비비안,,002070.KS,company,1,
유진로봇,유진로봇,,056080.KQ,company,1,
이화공영,이화공영,,001840.KQ,company,1,
에이치시티,에이치시티,,072990.KQ,company,1,
솔본,솔본,,035610.KQ,company,1,
DSR,DSR,,155660.KS,company,1,
미래나노텍,미래나노텍,,095500.KQ,company,1,
네온테크,네온테크,,306620.KQ,company,1,
디와이파워,디와이파워,,210540.KS,company,1,
휴림로봇,휴림로봇,,090710.KQ,company,1,
디지털대성,디지털대성,,068930.KQ,company,1,
원익큐브,원익큐브,,014190.KQ,company,1,
DB,DB,,012030.KS,company,1,
퍼시스,퍼시스,,016800.KS,company,1,
옴니시스템,옴니시스템,,057540.KQ,company,1,
아이텍,아이텍,,119830.KQ,company,1,
액토즈소프트,액토즈소프트,,052790.KQ,company,1,
레인보우로보틱스,레인보우로보틱스,,277810.KQ,company,1,
펌텍코리아,펌텍코리아,,251970.KQ,company,1,
바이오노트,바이오노트,,377740.KS,company,1,
